date,time,latitude,longitude,altitude,qx,qy,qz,qw,image,class
9/13/2024,13:40:34,28.59092656991317,-81.1889236,-4.766845696,0.3571717197724989,0.5483529352983603,-0.408993712,0.6359730317480408,1726234834775.jpg,
9/13/2024,13:40:35,28.59092665,-81.1889236,-4.721954339,0.3568742498642263,0.5483800092396545,-0.40919813,0.6359850680845256,1726234835738.jpg,
9/13/2024,13:40:36,28.590925122541066,-81.1888897,-2.03395193,0.356717761,0.5484378379390192,-0.409203241,0.6360197750341993,1726234836750.jpg,
9/13/2024,13:40:37,28.59092513740952,-81.18888972,-2.047448877,0.3567042138021186,0.5484469300569706,-0.409263849,0.6359805931498298,1726234837766.jpg,
9/13/2024,13:40:38,28.59092513740952,-81.18888972,-2.047448877,0.3567261335953655,0.5484778201111262,-0.409192051,0.6359878027790736,1726234838753.jpg,
9/13/2024,13:40:39,28.59092513740952,-81.18888972,-2.047448877,0.3568899408694784,0.5485567617876884,-0.408998071,0.6359524565197173,1726234839751.jpg,
9/13/2024,13:40:40,28.59092513740952,-81.18888972,-2.047448877,0.3571850676365342,0.5486199607164747,-0.40881513,0.6358500670200845,1726234840760.jpg,
9/13/2024,13:40:41,28.59092513740952,-81.18888972,-2.047448877,0.3569590188935922,0.5488018113668518,-0.408893326,0.6357697361615267,1726234841779.jpg,
9/13/2024,13:40:42,28.59092513740952,-81.18888972,-2.047448877,0.3569260126954718,0.5489069853204225,-0.408790516,0.6357635318553487,1726234842790.jpg,
9/13/2024,13:40:43,28.59092513740952,-81.18888972,-2.047448877,0.3570302811632196,0.5488877228224684,-0.408701656,0.6357787802778971,1726234843797.jpg,
9/13/2024,13:40:44,28.59092513740952,-81.18888972,-2.047448877,0.3568352156716656,0.5488708148991622,-0.408749884,0.6358717686339272,1726234844784.jpg,
9/13/2024,13:40:45,28.59092513740952,-81.18888972,-2.047448877,0.3563743518591502,0.5490008067180597,-0.409045049,0.635828246,1726234845816.jpg,
9/13/2024,13:40:46,28.59092513740952,-81.18888972,-2.047448877,0.3560805971556368,0.5490215505433075,-0.409162595,0.6358993619605389,1726234846814.jpg,
9/13/2024,13:40:47,28.59092513740952,-81.18888972,-2.047448877,0.3557747682686412,0.5502457101633416,-0.40871211,0.6353018751196648,1726234847819.jpg,
9/13/2024,13:40:48,28.59092513740952,-81.18888972,-2.047448877,0.3538821309073639,0.5533786675005138,-0.404239126,0.6364984714159668,1726234848814.jpg,
9/13/2024,13:40:49,28.59094041500681,-81.18887982,3.443743588402868,0.351202281,0.5582222178920221,-0.394653794,0.6397604426095526,1726234849822.jpg,
9/13/2024,13:40:50,28.590938901060223,-81.18888128,4.0560045,0.3464760544093876,0.5587988813201575,-0.38652908,0.6467560557664327,1726234850828.jpg,
9/13/2024,13:40:51,28.59094053,-81.18889217,4.646002057008445,0.3420585097040907,0.56216939,-0.378899689,0.6506893796161808,1726234851854.jpg,
9/13/2024,13:40:52,28.590942562686312,-81.18890528,4.653112229891121,0.3460096347638891,0.55595376,-0.382050666,0.6520966144996141,1726234852848.jpg,
9/13/2024,13:40:53,28.590945872815706,-81.1889168,5.351087060756981,0.3553522119346163,0.55028959,-0.390454629,0.6468781775921176,1726234853882.jpg,
9/13/2024,13:40:54,28.59094922233356,-81.18893328,5.594250495545566,0.3660163229621163,0.5465870810112775,-0.399360929,0.6385808588093693,1726234854902.jpg,
9/13/2024,13:40:55,28.59095576988806,-81.18894841,5.818106393329799,0.3715235478808054,0.5429680287110659,-0.411268342,0.6308837892457144,1726234855917.jpg,
9/13/2024,13:40:56,28.590963593948462,-81.18896384,6.198597449,0.3817587725983383,0.5297089605808248,-0.431370875,0.6225654518939897,1726234856915.jpg,
9/13/2024,13:40:57,28.59097475527421,-81.18897824,6.528318172320724,0.3997326421399487,0.5211463506758671,-0.455989109,0.6005783230662376,1726234857929.jpg,
9/13/2024,13:40:58,28.590988550900995,-81.18899269,6.566578145138919,0.4134340241984349,0.5109252617015583,-0.479756781,0.5812583251390562,1726234858948.jpg,
9/13/2024,13:40:59,28.591001867584584,-81.18900679,6.383911904878914,0.4299473052551705,0.4930248730239098,-0.501510318,0.5661794231183261,1726234859960.jpg,
9/13/2024,13:41:00,28.59101078684687,-81.18901935,6.296653135,0.4488603710534439,0.4757895721008592,-0.524459432,0.5450605579324298,1726234860985.jpg,
9/13/2024,13:41:01,28.59101978560744,-81.18902894,6.049593154340982,0.4741471560200397,0.4554554155058145,-0.545507441,0.5197753276242744,1726234861980.jpg,
9/13/2024,13:41:02,28.59103373512956,-81.18904014,5.6935693537816405,0.5037039401263363,0.4265774441575592,-0.571656829,0.4873628982523066,1726234862985.jpg,
9/13/2024,13:41:04,28.59105470089159,-81.18906247,5.560939907096326,0.5526838975287286,0.3566182302028391,-0.635638502,0.4041380963950839,1726234864007.jpg,
9/13/2024,13:41:05,28.591064813768927,-81.18906406,5.8737260634079576,0.5690462914333418,0.3254110436850834,-0.656455639,0.3733093569800301,1726234865019.jpg,
9/13/2024,13:41:06,28.591079369350368,-81.18906509,5.690204335,0.5821268896859014,0.3075451034554616,-0.666894119,0.3489933983015691,1726234866026.jpg,
9/13/2024,13:41:07,28.591092337437964,-81.1890672,5.535980834625661,0.5895929953590026,0.2945731519317525,-0.672188875,0.3372964814025021,1726234867029.jpg,
9/13/2024,13:41:08,28.59110315077155,-81.1890637,5.374553790315986,0.5944211240330509,0.2810985538806903,-0.676541559,0.3315697280673618,1726234868058.jpg,
